Year,Month,BCC-CSM2-MR_mm,EC-Earth3_mm,FGOALS-g3_mm,GFDL-CM4_mm,GFDL-ESM4_mm,MIROC-ES2L_mm,MIROC6_mm,MRI-ESM2-0_mm,NESM3_mm,Scenario,TaiESM1_mm
2015,1,9.79076517,8.593167653,1.166096082,24.69574912,1.978321141,1.762233971,5.435575664,9.185631767,8.149011911,ssp585,3.150897928
2015,2,3.369129874,0.13371981,0.018154904,4.463349344,0,0.337347752,0.002221365,0.827263836,0.733710592,ssp585,5.084853299
2015,3,14.44879564,3.237230846,0.188450436,1.480580821,0.145065221,0.062187336,0.024271165,0.341642979,13.44126799,ssp585,3.069097849
2015,4,11.02073624,18.71612379,3.521066468,21.20007417,1.787620678,0.974076675,1.636494822,19.98035023,7.353698573,ssp585,36.14291926
2015,5,22.03045532,33.71694643,1.47264728,6.726683529,10.97525666,0.108020438,4.42274525,23.59452928,4.658913827,ssp585,16.2323345
2015,6,16.11038124,6.253669286,11.34229963,6.141477377,31.45034599,4.990511726,8.224445412,25.00485127,34.79005483,ssp585,15.61301501
2015,7,59.9506878,139.3086129,38.47551245,30.93451288,74.24226781,63.49829223,176.511067,12.07167973,103.0037665,ssp585,241.3043294
2015,8,43.58583792,217.1938323,73.3703327,138.702484,15.46420789,53.98574416,150.2541559,72.83871753,155.2338598,ssp585,63.4274654
2015,9,59.95167879,79.09801037,18.06218094,53.1595132,51.64034986,28.01687054,9.350269846,33.96929625,29.71152069,ssp585,32.22970707
2015,10,13.79399778,4.484363781,0.934556023,0.244523635,1.88E-04,3.357224282,0.107949362,54.17264062,2.320631132,ssp585,104.1414248
2015,11,14.16823768,6.660285286,6.228610245,24.04927591,3.19741869,2.761822925,0.129075833,5.072653389,4.845991386,ssp585,76.15719279
2015,12,4.863168544,3.787568957,3.705474279,28.45735915,6.456738324,0.971320272,6.115933446,10.87581828,32.58631599,ssp585,105.0678903
2016,1,0.581145039,7.80078726,0.861977967,20.98643137,0.795874435,0.403523764,1.879155922,30.78126283,1.817356122,ssp585,38.83297964
2016,2,0.032568916,0.228350828,0.001433947,1.508385407,3.411997432,0.001524424,0.001710418,3.855845283,0.297889768,ssp585,20.41966653
2016,3,3.151503369,0.719452512,3.394506166,0.665900731,0.043383865,0.573445953,0.004187714,0.652602147,0.447747102,ssp585,6.306465488
2016,4,33.79547737,1.693719425,6.593221173,55.05215924,14.3249632,0.767407046,1.946967259,21.62522732,1.00370092,ssp585,61.06964646
2016,5,11.6437194,2.101872779,6.072555495,4.305899944,4.378513834,4.411228991,19.06349872,10.85307625,2.165478741,ssp585,24.80327815
2016,6,8.365406766,8.278223928,14.29463689,7.387071501,1.807688222,20.02907436,32.57324043,43.93621149,44.9225236,ssp585,21.98511903
2016,7,58.50297233,114.0848413,47.00594419,69.04357494,13.80764096,79.16043241,78.4875126,11.22548493,20.39021802,ssp585,78.02296361
2016,8,105.0161745,134.8813728,144.8738356,54.24955061,26.58948152,83.04400614,101.419279,67.41641092,344.2149342,ssp585,154.4985536
2016,9,33.94450616,50.17460317,37.64613602,18.35627901,20.99023137,64.0392949,14.6899822,42.22643519,43.83406222,ssp585,29.07086697
2016,10,3.17525592,0.815204622,1.403803358,0.235879657,1.263351865,6.572913517,0.239947444,0.122928886,10.20685853,ssp585,5.027560681
2016,11,18.7879861,5.518976759,15.13576173,28.03991198,15.76540412,4.914813233,5.827808431,0.808592607,0.109430862,ssp585,4.51130593
2016,12,34.15592216,1.964487101,3.11721444,5.660245913,16.96120905,3.080320493,42.41306264,11.78780048,0.842702236,ssp585,3.990274762
2017,1,1.16554477,21.76723972,0.386867571,6.52923877,15.03302245,2.280261506,48.9523942,1.53451758,0.683726345,ssp585,1.817757992
2017,2,0.119599122,0.157097158,0,5.350711237,14.24596706,0.095953304,0.344254802,0.055188774,0.025562184,ssp585,0.017040475
2017,3,51.16424288,0.558001156,0.116755253,1.02934278,3.789893084,7.445777147,0.099242628,1.173537481,0.088336643,ssp585,0.015234198
2017,4,5.120307787,14.97148613,21.99319438,4.691087709,1.856812891,0.183453901,0.368590551,8.268324853,1.067689495,ssp585,1.438621127
2017,5,21.436612,4.383164475,5.582914959,17.28042229,1.835467133,0.056316386,5.61581426,14.12422835,8.421022191,ssp585,1.044006091
2017,6,92.08389373,43.56367702,14.96898788,17.57560749,4.79152142,8.385230332,3.449528669,41.43854508,14.73780991,ssp585,49.21940591
