Year,Month,BCC-CSM2-MR_mm,EC-Earth3_mm,FGOALS-g3_mm,GFDL-CM4_mm,GFDL-ESM4_mm,MIROC-ES2L_mm,MIROC6_mm,MRI-ESM2-0_mm,NESM3_mm,Scenario,TaiESM1_mm
2015,1,4.852710027,6.591895723,7.193550459,1.169112163,10.81602912,0.478291141,0.611290584,9.613961219,3.439804842,ssp245,2.601968867
2015,2,12.63099704,0.357216238,0.012642134,4.899323821,2.98E-04,0.063293503,0.05091829,0.026624726,0.5002562,ssp245,0.003384396
2015,3,3.895983412,14.97154424,18.75755883,8.936898801,34.20614505,1.696992308,0.673413255,20.85652298,17.22151013,ssp245,0.137576612
2015,4,96.74871339,14.97986465,1.61378118,31.88376259,60.53460765,2.57162619,1.522485997,12.66322676,5.909013678,ssp245,0.500312982
2015,5,16.77799738,23.66049837,6.697362029,6.514625414,36.99391967,17.47801706,35.02937376,28.6394636,79.21570571,ssp245,2.288615394
2015,6,17.62266941,20.29194785,16.28817305,69.83167321,8.820233751,31.85568377,24.00225525,25.38601974,9.720088391,ssp245,30.93011269
2015,7,76.59958268,72.44248447,117.5249126,144.0182251,57.07334441,97.58298738,86.05311513,142.845904,106.0895075,ssp245,111.5248181
2015,8,226.9751136,168.6523348,110.6240703,176.2633121,43.13250733,62.35417026,57.05650755,152.0219751,355.4602921,ssp245,288.4294349
2015,9,3.285844532,36.30345082,75.23219726,18.92505395,65.01897745,63.3240757,69.99703207,28.05660159,7.057810795,ssp245,30.65077379
2015,10,4.007593884,12.1500194,0.143002874,9.615336695,0.009668067,2.275942457,0.7870832,0.058552707,3.54539073,ssp245,0.078375295
2015,11,15.43915035,27.56721965,0.289882209,17.59551875,0.022403058,3.651801565,0,1.563363657,27.23573914,ssp245,0.135116675
2015,12,9.207110859,15.8783074,2.724749667,44.65495265,0.465073923,0,3.147606487,10.52348567,3.583677534,ssp245,0.013010915
2016,1,1.667232532,6.981385513,0.051753453,1.787049628,4.987694631,0.360048411,0.346404452,4.969753448,0.026073002,ssp245,0.012875343
2016,2,0.022700415,0.710490105,0,0.606043951,0.004326461,0.063431145,0.94860761,0.289110325,3.239636779,ssp245,0.024389804
2016,3,35.55537847,0.100551805,0.018459084,29.53720333,15.83723575,3.715234643,9.087327579,2.083317829,0.355183945,ssp245,43.79487721
2016,4,0.739138282,1.470952819,0.358023007,0.346931199,24.5080862,39.50486164,2.845057166,66.13518311,0.234910019,ssp245,8.208210695
2016,5,81.24873519,27.98053412,2.548943251,12.16099012,19.17221075,1.017013284,72.8037783,18.63419401,0.337658065,ssp245,10.58389571
2016,6,34.45630945,3.588321664,45.13840333,67.15883657,36.97769629,6.625461445,22.34414918,53.08020331,18.74975158,ssp245,77.99171912
2016,7,129.0062327,138.8608668,202.7110043,208.7666333,165.4665977,32.84566614,81.61079581,95.05898148,284.5505583,ssp245,64.30805587
2016,8,250.9041924,171.4181338,249.7558744,291.5986761,151.3744003,125.9442489,161.3420718,124.6313008,89.45596162,ssp245,58.0756803
2016,9,21.79111172,38.85267367,35.54348718,70.51939854,28.57974178,127.7980564,45.24279492,10.364626,136.0164094,ssp245,11.13108201
2016,10,9.273065162,8.857187184,0.162579529,0.00167716,9.579897316,0.197507165,0.141783593,0.062486294,15.38123448,ssp245,1.686381116
2016,11,63.3604936,0.122771343,2.685531455,0.221472232,6.748683977,0.095417563,0.002450038,16.41611987,13.23400739,ssp245,40.63754363
2016,12,1.347826041,0.675585306,6.08216971,20.0170455,0.341799157,4.741477356,1.245268618,37.06953144,16.46066761,ssp245,30.68208381
2017,1,9.163062181,1.873540156,1.338888993,1.682904851,0.403651447,0.06877432,1.075661448,17.52057454,0.617616527,ssp245,17.95426793
2017,2,0.026746847,1.726565655,3.32E-04,1.452027725,6.670620244,3.630317288,67.3839848,1.00339631,4.626297599,ssp245,20.49608753
2017,3,16.72107924,0.675807636,0.764580029,0.515813471,2.931153257,14.40902309,5.992763211,2.838825288,33.7988479,ssp245,9.918154807
2017,4,41.73864824,2.436605001,14.51018828,10.37293128,43.35376683,41.46490663,19.71199308,30.71001518,22.16072953,ssp245,60.79017194
2017,5,31.53541376,12.35000265,3.342837087,12.36404448,15.15651568,0.023317547,13.00052902,62.58102348,46.62017522,ssp245,12.9688213
2017,6,30.35927001,18.92575785,17.60466171,60.67240305,19.35511131,9.137295518,63.12063417,10.2217089,72.45838664,ssp245,13.87567837
2017,7,90.17285041,216.8549688,97.50942879,149.7127159,64.53975234,115.1546532,126.8748553,47.06382366,217.2702363,ssp245,122.6976087
2017,8,108.9394164,280.7896514,109.5158239,220.739567,50.67675269,314.7603738,190.2555215,95.76701823,281.3138344,ssp245,100.9405501
2017,9,1.131853211,11.18636566,7.734107039,93.6305983,29.35366282,29.70204607,21.08372175,50.64111887,34.53687428,ssp245,36.97457059
2017,10,23.21773411,3.076013993,0.217581221,70.070562,2.830686226,0.216409719,10.37554393,0.426962884,1.479850486,ssp245,0.068852476
2017,11,17.19969084,0.038716828,7.408140547,0.015056274,0.126986406,15.20977809,8.175033249,1.328265213,0.051051639,ssp245,2.449110974
2017,12,1.112724372,1.458724656,22.71563052,2.691878869,2.613547251,5.617531606,0.151331013,6.927002103,10.57289992,ssp245,3.474292139
2018,1,2.763663971,1.641374674,6.633556456,18.71567772,9.899439747,0.029505933,3.98149131,5.515382471,7.375662114,ssp245,3.679130764
2018,2,9.082018989,0.615365762,0.015481656,0.346585358,0.14737461,0.025632589,10.39747408,0.190764116,0.012753733,ssp245,0.016829151
2018,3,45.69566981,19.13825955,0.052556322,2.013029862,32.36701393,10.18034567,1.10700552,0.922657645,1.257027688,ssp245,0.462490152
2018,4,2.287722812,14.17764203,6.317827191,5.032106546,5.394318811,81.78326499,2.680567809,0,1.313768698,ssp245,7.8246288
2018,5,58.07948354,137.690296,32.0321044,61.73277039,3.953951357,34.40128792,21.78359846,12.69686225,41.17050275,ssp245,0.05839327
2018,6,41.30679787,6.361429387,46.54952367,33.97485943,10.23723519,7.714544552,51.16080203,22.78964228,45.59653842,ssp245,61.66477495
2018,7,67.25368325,77.51611797,203.2563073,100.9629333,65.40253312,26.18310924,236.7647428,102.7666498,383.7538924,ssp245,404.3851174
2018,8,77.44824882,334.1008772,270.5090928,58.30270262,77.85271036,336.2018687,52.48723662,35.55062652,299.6442232,ssp245,248.5629344
2018,9,35.03820937,60.07930807,84.09292974,33.97846323,32.04257807,8.992675052,14.07047144,68.61390787,93.39570593,ssp245,47.39284543
2018,10,1.879696232,50.68138834,0.048098459,2.495188901,23.45428799,0.531162505,4.109716919,0.493780396,0.084341461,ssp245,0.147540708
2018,11,32.64209259,40.65786597,0.241168705,75.03929891,1.882790976,0.064385083,0.080588323,0.205821678,13.97447533,ssp245,7.186265262
2018,12,5.545207414,2.485703265,4.425523876,33.69080884,1.681377591,14.25426112,0.063551333,0.559832114,2.041023133,ssp245,3.528483055
2019,1,18.99168461,21.23704972,2.870775366,31.70628135,7.87079104,0.920509237,21.10304043,5.649799812,4.310390852,ssp245,0.095272117
2019,2,3.73050487,3.242352163,0,2.604928793,10.69212883,0,0.037866463,0.135303107,0.078630832,ssp245,0.026355986
2019,3,5.933493332,4.820397094,0.676620632,2.609157753,6.282607582,1.130233314,2.080031997,3.861737321,1.228983258,ssp245,0.06140643
2019,4,18.99619558,12.86924409,39.93428134,65.81729906,64.15908983,28.62140648,11.7055118,4.92826767,13.21523922,ssp245,2.285477294
2019,5,115.2241568,84.20262288,12.89811494,26.03283681,15.55223324,32.08366891,24.87955136,0.762128935,15.03431865,ssp245,6.260449906
2019,6,11.85292208,4.662206281,3.086274259,19.58481281,12.9279187,29.00570606,63.61038414,24.34276423,27.40683818,ssp245,35.58585154
2019,7,168.5822583,45.7015625,137.4285588,162.8077266,59.42907134,95.33187099,90.88227102,121.9537819,19.30170691,ssp245,276.5010207
2019,8,128.2485237,219.3477218,147.8657887,302.8052592,131.4476882,66.49042658,123.4529615,111.9732615,133.1999105,ssp245,39.68725634
2019,9,40.19487577,12.9446693,31.23857522,46.27611552,16.96597074,12.287554,27.16591301,2.605989213,37.30384281,ssp245,17.28792403
2019,10,5.70511542,4.084835827,0.345779189,0.544258658,0.08456375,0.156820415,0.003967173,0.139883146,0.507485312,ssp245,0.024536171
2019,11,1.520710384,4.648158932,2.978639078,0.555603095,6.70005011,17.61584389,0.226135124,22.80562606,0.019480918,ssp245,23.8078693
2019,12,1.962332206,0.377179872,8.859034487,10.89312114,6.72365792,9.808232088,0.695068894,11.57207335,4.7738888,ssp245,12.40295224
2020,1,20.71433062,3.626945548,0.384553376,4.737580696,1.033836549,28.54736636,0.083843197,3.832584122,8.66239212,ssp245,0.597058099
2020,2,0.368187479,0.004543735,0.425973758,1.59694471,0.027837771,0.007191875,9.47E-04,1.93E-04,0.705884648,ssp245,0.751187867
2020,3,7.388662382,0.006806822,6.135903747,0.437033074,3.768987225,0.881385407,13.92288471,6.191736089,43.61723149,ssp245,0.337487693
2020,4,47.43147827,3.070550643,43.85575299,22.7030653,6.007961385,15.79955915,14.47957329,19.85009305,14.92489394,ssp245,8.224924745
2020,5,9.106424994,10.09141597,9.959944442,2.173843151,19.87426984,55.01723413,48.66370631,12.49471947,24.69134124,ssp245,2.336362696
2020,6,45.44390253,26.66885807,21.07530916,22.44181833,9.146969441,49.76663052,45.75649057,10.1314479,11.89763235,ssp245,23.20484626
2020,7,295.694196,348.4145229,139.7617708,80.07487333,58.81658386,49.03803973,395.0856903,191.3425146,334.677318,ssp245,43.61888764
2020,8,88.02969496,219.1280069,145.2201791,144.1891793,329.3951446,154.789704,180.4180949,244.10597,231.4405019,ssp245,97.28076383
2020,9,37.77218197,11.01582524,13.40475406,108.022656,163.9805246,50.39044324,44.02932779,25.9638948,49.06658427,ssp245,67.20875097
2020,10,7.347641992,0.609868246,0.141717352,0.201269529,9.97E-04,0.190945097,0.00285396,0.803002847,17.35372214,ssp245,0.023765049
2020,11,4.143626254,0.048647015,75.74220214,11.10311377,3.588941417,3.364833183,3.266899522,1.072694783,40.22220448,ssp245,9.950007709
2020,12,21.67556136,2.564131183,0.646537275,2.145761332,11.60893186,2.73977106,7.75000335,3.527592245,91.83224414,ssp245,3.487885568
2021,1,0.469569801,6.308587484,0.09663896,9.762926608,3.561918334,3.77072307,21.65758532,15.76672984,0.7145161,ssp245,7.216524981
2021,2,1.34E-06,0.88631749,0,0.710379529,0.316001101,0.43262948,0.292210533,0.158635019,5.215246865,ssp245,32.89091647
2021,3,0.589887544,0.094968755,2.919588471,2.036732332,25.70639332,4.519869078,5.965493522,17.0042034,67.69304161,ssp245,23.31667696
2021,4,4.387899537,24.07655936,12.49619666,5.230532693,29.44932099,14.14658616,45.0764212,42.08848,43.94298269,ssp245,8.933482568
2021,5,68.49674894,19.93147363,28.075718,1.105333233,6.559495821,91.33976303,10.57108084,81.41783767,6.798119608,ssp245,2.996477385
2021,6,62.522561,8.290265097,28.35453695,17.53709982,131.5503899,135.3881038,52.19463332,18.00796843,29.38747474,ssp245,27.4295127
2021,7,192.1860422,131.0298713,149.227403,56.36821528,137.6427086,278.7714417,76.88173949,235.1657594,57.24782178,ssp245,18.6433672
2021,8,215.0550206,242.049419,89.80574806,279.5285353,184.6795655,146.1871584,276.0213865,123.7558004,43.109596,ssp245,90.93249107
2021,9,30.65803243,164.8647747,48.23376618,14.83489643,10.27193288,10.13727745,21.69874514,35.48309534,73.01977741,ssp245,25.09997332
2021,10,3.963312022,0.696933173,0.682464448,0.163328014,0.19432259,1.074049481,0.383372322,57.73321689,33.08812672,ssp245,3.315118497
2021,11,0.662556128,19.18173409,4.467629141,1.504671397,15.39382651,0.084439171,13.67918703,49.13052116,34.52969792,ssp245,0.025966723
2021,12,0.012456012,4.019655706,3.158946138,5.295760449,1.361494859,0.236579186,0.019080922,2.450354789,47.69336048,ssp245,4.975015274
2022,1,19.24817312,43.50257739,1.591049887,1.662069322,0.375645231,0.173571412,1.717274203,19.28884176,11.92273186,ssp245,8.967316682
2022,2,1.186650918,2.623702342,0,0.151377037,0.031234323,0,0.135141985,10.05839747,0.960758457,ssp245,2.43781862
2022,3,26.69945451,0.935860079,0.132096938,0.824559779,3.851614567,16.68829826,7.145738687,33.24026705,0.052911712,ssp245,0.392706228
2022,4,27.31418727,62.5088067,13.2265345,63.14311485,7.410148104,21.09388369,6.084748126,11.10202909,3.474357483,ssp245,43.85208299
2022,5,52.9603259,12.54189056,10.08541131,0.425589505,10.94904363,87.17511609,0.549662335,38.43936431,13.82973563,ssp245,36.6618293
2022,6,8.81189322,3.081624023,49.96661831,28.22969457,46.28748364,77.12431635,39.78094236,12.00001989,12.80285705,ssp245,34.96231315
2022,7,119.0367153,61.56058671,122.4454885,52.73476658,112.2627722,120.5610455,28.35429076,68.99975043,26.81719312,ssp245,128.8868092
2022,8,125.275969,157.7317162,229.0354452,127.4926049,143.6068508,145.2088039,298.5628775,52.8532904,370.1100785,ssp245,262.3097227
2022,9,40.8034022,57.689155,4.372665505,117.065451,21.6936812,17.00472357,22.45695457,7.434530885,68.60436338,ssp245,103.8473431
2022,10,10.84499622,0.439507704,3.421042254,5.262436496,3.40E-05,0.745141357,0.148100609,1.554873749,1.900073817,ssp245,1.36978806
2022,11,11.00341638,37.78313708,0.310694206,19.19599711,2.638205126,14.47587305,0.036235468,30.40090258,0.270584108,ssp245,1.524441113
2022,12,4.304871903,5.903324127,0.116895319,1.14723449,14.56300985,0.014411209,44.37152087,4.66E-04,15.16685688,ssp245,4.915764753
2023,1,1.150206828,0.476162789,1.735918815,4.008429276,22.86055103,3.995181421,0.100062341,3.118123621,0.679793244,ssp245,9.851261364
2023,2,7.54E-04,0.009950902,0,0.778600097,0.027022252,0.022167359,1.502244082,3.259937162,0.093427285,ssp245,5.399312524
2023,3,14.71449427,5.364242008,0.021680109,4.115697075,12.93916156,0.38412109,51.23325215,7.699380809,130.3503033,ssp245,0.009565481
2023,4,0.008265064,17.22991996,8.909383084,17.19889783,9.975389885,8.204002692,17.93826713,5.071347505,2.615524289,ssp245,1.071572795
2023,5,33.65347473,1.491767897,36.28005944,11.92648453,31.90982624,5.050910037,4.081947189,2.679454611,56.81161065,ssp245,55.54310032
2023,6,54.4566228,152.1406359,24.5552223,5.296578314,17.38379657,77.8151091,36.15658261,64.83059102,33.07558595,ssp245,43.72819593
2023,7,199.1269949,294.2878453,782.8769309,152.7965915,151.3347812,132.3668637,130.5075225,116.0366299,26.75067552,ssp245,100.1533007
2023,8,316.9084047,312.797101,173.0944111,488.844758,258.6676213,150.9617966,64.39932575,152.1160279,86.82731631,ssp245,60.73238912
2023,9,14.91889752,46.00078324,36.83057333,90.76388772,6.584729028,6.011300656,11.1095918,17.28537167,2.949593344,ssp245,21.24162245
2023,10,5.795355809,4.610400843,0.291073168,0.04997848,0.287022726,0.105470547,18.22528535,0.955505029,2.484015959,ssp245,1.111404799
2023,11,0.228173771,0.098637582,0.347442915,0.296792542,8.943170332,3.999810268,0.153285239,0.086006139,29.47602197,ssp245,0.228971319
2023,12,2.900589614,1.037623431,0.269878226,19.27356554,0.189798472,7.138310785,16.39470022,1.246409123,0.073162895,ssp245,16.74122237
2024,1,21.34119674,0.033227739,0.490885276,5.705361096,10.60655376,0.680878027,12.3292197,3.477345236,11.35057327,ssp245,0.269543942
2024,2,0.18317191,1.197375893,0,2.100131973,0.308949063,0,1.302514248,0.275086124,4.307789601,ssp245,20.14569016
2024,3,3.97978749,2.425704612,0.891126732,6.794114602,1.403071505,2.175406685,0.501057757,0.857365071,40.19664793,ssp245,6.994107714
2024,4,23.96387589,50.24569659,12.95709354,21.90092557,3.130352155,21.877803,31.31730528,6.496403771,22.19734882,ssp245,27.59235966
2024,5,20.97178426,17.32408715,25.62278848,4.013677983,1.973337717,27.09781949,20.24099229,4.578583456,15.93346216,ssp245,11.76691511
2024,6,49.2171913,46.48587206,28.98778373,21.81426491,14.34336094,5.63191877,3.090840778,54.31499813,18.09977557,ssp245,57.32745467
2024,7,234.0028775,402.3031322,109.8858731,55.43862272,164.885784,143.9638998,211.6439697,94.82696503,26.98293904,ssp245,123.2084491
2024,8,296.8114715,426.6513795,150.9979821,246.8463155,35.27915935,164.6844037,150.4416801,85.49273197,397.6518783,ssp245,141.2352475
2024,9,35.69172117,35.98858951,33.39743281,159.3634632,20.92439566,83.66939158,25.99101609,20.83512875,24.98511865,ssp245,79.7934246
2024,10,1.722575549,0.282670295,0.690027912,0.199458679,8.77E-04,0.237585617,0.005731131,0.009756659,3.867772895,ssp245,0.002672414
2024,11,1.31898457,20.61621698,31.20530033,14.540823,0.124326123,11.78151139,3.356680558,0.008438966,1.510219161,ssp245,4.272036692
2024,12,23.36689984,5.973069856,21.38991347,5.288058915,7.692410956,25.76193266,0.080391378,0.802741892,3.655127841,ssp245,1.927270422
2025,1,1.782818873,19.4191319,2.629098379,6.433826236,2.816659466,1.436828141,0.059768787,2.563275321,2.519590004,ssp245,8.05E-04
2025,2,0.567101,42.18534599,0.010202626,1.578733628,1.623391849,0,0.001570617,1.006396955,4.431877131,ssp245,1.336421895
2025,3,0.540204249,1.269277841,2.024387311,0.005222027,2.954375034,2.805947423,18.08095796,0.575160941,2.847739281,ssp245,44.72230864
2025,4,1.257794435,7.278833084,16.91247155,32.61241329,8.666719754,40.11850393,46.83623483,4.569735053,37.77318661,ssp245,1.327575083
2025,5,29.38243306,35.10982243,16.68956901,4.991126386,16.46351963,59.08140558,43.02145825,16.71610026,93.21685597,ssp245,3.303992735
2025,6,33.91300998,179.2962276,32.15305012,33.34086326,28.83475576,26.78221061,66.24531532,18.04670379,30.55364608,ssp245,22.82056184
2025,7,61.02556535,224.93795,474.7195933,55.42530494,87.84985818,203.8863931,232.1045001,108.3490044,33.10979264,ssp245,129.3203427
2025,8,39.72278407,173.6230456,124.2440684,162.4870855,79.73862448,240.4124509,517.1449272,168.0545287,82.08003703,ssp245,225.8242945
2025,9,93.22080062,38.55479975,82.92284271,14.18687068,8.48441076,61.40408243,19.23386791,6.005275526,20.77098513,ssp245,92.51199681
2025,10,16.11027201,76.94522831,0.325643274,52.62192368,1.594675683,0.189979184,1.23E-05,0.068899535,0.906005435,ssp245,4.838276066
2025,11,9.919264311,19.56285071,2.817781584,4.034968653,68.22130875,0.649714815,42.65949318,0.74931085,37.29458607,ssp245,4.232954446
2025,12,3.697886475,1.190202805,9.092714874,2.028227088,1.573179366,0.838224822,0.199923399,4.678002197,1.888276668,ssp245,8.026787196
2026,1,3.089605577,39.2416757,4.086014278,6.269971329,228.3720619,0.096035974,0.388267036,3.947356506,1.566065489,ssp245,0.703063421
2026,2,22.81419229,2.319467804,0,0.070205824,3.073161203,0.349805529,0.091858224,11.70212253,0.047221548,ssp245,0.193330115
2026,3,15.65297074,12.20263393,0,19.97991324,33.83625169,1.703487219,5.960614515,9.482313076,9.583605784,ssp245,3.003775577
2026,4,34.10561456,19.78901218,6.512281276,6.341446552,1.132142935,20.67068571,6.669378675,26.58388983,49.64734583,ssp245,0.238641853
