Year,Month,BCC-CSM2-MR_mm,CHIRPS_mm,EC-Earth3_mm,FGOALS-g3_mm,GFDL-CM4_mm,GFDL-ESM4_mm,MIROC-ES2L_mm,MIROC6_mm,MRI-ESM2-0_mm,NESM3_mm,Scenario,TaiESM1_mm
1981,1,0.079661242,0.392747265,0.953042934,0.057944526,0.037246802,0.039951818,0.015353256,0.122947793,0.841616858,2.349291151,historical,0.036576608
1981,2,0.611631189,0.092897912,0.037359135,0.303300496,4.786561282,0.209812522,0.158362638,0.002738958,1.439728766,0.008762034,historical,0.087488515
1981,3,4.627825467,13.58826513,0.132777867,0.634485443,3.130119103,5.824725882,10.5828387,0.88773697,2.460534206,8.271225479,historical,0
1981,4,61.98168291,26.30737499,21.6860489,14.46263577,0.621683311,13.4602599,5.565837541,4.118101759,8.181102756,0.894341653,historical,0.001124231
1981,5,3.208861821,41.15828779,17.75722034,11.75764929,9.466866107,2.482002168,6.277141395,3.484045568,25.05585348,29.37190332,historical,2.284552137
1981,6,13.18739148,67.36721963,22.14259685,39.24063319,59.6990325,48.12538415,91.23669712,26.2394677,56.64601547,42.94889361,historical,25.30290445
1981,7,44.2552164,218.1095553,174.5723437,150.8811414,86.39931369,141.0261476,28.46553894,166.4125704,187.1627734,180.1483934,historical,240.648854
1981,8,119.056872,267.6428667,90.37992282,34.43701014,111.5511768,182.835313,91.61024946,124.0751886,150.9605197,87.59697678,historical,206.691432
1981,9,53.03697689,90.13845695,40.47981087,94.18039438,28.78251146,28.85462351,57.85606616,94.0967403,56.78974772,55.79622606,historical,67.43005059
1981,10,0.187972335,25.50417048,42.56121316,4.210603145,21.72091264,67.84799287,5.898748373,0.618940169,0,22.00941372,historical,0.314751651
1981,11,0.124143867,9.30447329,17.32385983,17.38472841,24.06811216,0.925106625,0.696700444,2.760828687,9.557628159,2.75198061,historical,0.016094651
1981,12,0.993035516,0.026402911,1.331514289,1.163798987,0.531613469,3.510326052,0.023907212,0.00676322,0.334963474,3.611706356,historical,0
1982,1,0.93602866,0.773573981,2.035353576,0.208980827,0.698772098,1.075402634,0.005206728,0.021740859,0.616680297,5.066381721,historical,0.011067877
1982,2,0.709068261,0.980914096,0.037859557,0,0.058535208,0.146960035,0.001312281,0,0.01229414,0.046711996,historical,0.011592841
1982,3,0.657954875,6.331708067,7.062594833,0.953477795,2.602279949,1.345254088,0.469520053,3.953555412,6.737191099,1.09519024,historical,0.114584448
1982,4,13.12158312,28.05108282,4.60336302,2.286256945,7.500355052,26.19076347,5.386696707,0.980241859,15.37172907,30.77668047,historical,1.238660942
1982,5,9.080920738,28.35690784,7.145844325,8.704349775,11.56932411,10.80626528,6.316181981,40.4977376,68.88141507,4.599639874,historical,15.35191578
1982,6,31.01363166,42.72225635,37.21070518,66.54788177,119.78871,75.23442302,38.67619803,20.49255023,73.74148327,6.156981267,historical,39.74384295
1982,7,139.3305886,121.5846674,148.4064655,112.9221777,120.6889661,194.6681613,76.09149451,79.0985919,56.31377718,120.0865516,historical,88.23268456
1982,8,78.09728974,185.8807284,167.738456,166.6656924,75.97339652,82.90649544,146.5485149,76.24782162,46.0302958,207.9665683,historical,105.1000785
1982,9,99.98077088,51.53613056,16.51987639,77.13973619,17.57010955,19.32079153,35.78189732,91.69638011,29.67352371,75.37735001,historical,27.16688862
1982,10,1.398224964,31.00536506,18.75544776,3.787961157,25.16801532,0.820854538,0.027475554,51.42000613,0.503900334,1.631311058,historical,1.860190531
1982,11,6.480173743,3.280511537,0.693057998,2.971622389,0.563089317,2.673353588,3.786205519,0.045672457,3.24131958,4.048571769,historical,0.278722786
1982,12,0.17708065,0.079477933,1.189874836,8.821106986,0.139819105,4.161500597,0.431923166,0.992205199,2.175720616,1.707615369,historical,0.249873002
1983,1,0.905078791,0.435845462,0.250368973,2.76E-04,0.022071164,0.201158623,0.068296457,0.09407389,0.069332164,0.130430779,historical,0.019337165
1983,2,0.202804215,0.125817623,0.063265574,0,0.343656073,0.045400481,1.45E-05,0.370343982,0.115319624,1.549439823,historical,0.085123366
1983,3,5.125557375,2.115079665,0.152367117,2.518219103,1.185029833,4.533066951,5.563886573,3.448190304,3.7420227,12.65233234,historical,0.186380655
1983,4,18.17335133,9.213053414,0.61440977,4.784195433,2.542545819,1.099981341,8.196800312,2.528431226,1.267946411,1.439196655,historical,9.477745562
1983,5,21.96290597,40.87491568,10.1355143,6.467248836,44.17005977,46.71032442,4.549988658,55.13015912,35.83846136,121.1006357,historical,42.3963572
1983,6,52.14545617,101.4653873,22.68374542,21.40812231,107.5804262,153.4323203,26.40029652,20.9669222,30.89328667,74.76155426,historical,48.51227316
1983,7,108.0877924,103.0434299,41.75942799,201.5464489,167.8544048,182.557947,158.3139152,31.07899352,17.86330346,77.88397046,historical,66.38414263
1983,8,153.582354,154.0728009,54.33182986,220.5246253,64.51725286,143.0089239,191.1383717,49.40487213,53.15240762,45.96451925,historical,103.6103459
1983,9,19.5501114,62.38176159,23.95608559,82.23914962,37.49300283,9.900335661,118.3797,23.56266374,32.0429598,87.12973419,historical,68.54560934
1983,10,0.10040841,7.112334313,4.313553662,0.742943278,27.42486886,57.80344204,0.973005776,13.45949695,5.13E-07,10.96970001,historical,35.19915166
1983,11,0.264630451,4.226573094,7.483732001,0.986222859,1.483875332,2.300668706,4.28344169,10.59589958,3.23288979,6.046980677,historical,36.52158906
1983,12,1.837170868,0.020242771,0.330597822,0.037383231,0.203591045,2.581780366,1.008039249,4.890610259,0.085317692,1.556556295,historical,0.221950884
1984,1,0.186207475,1.176035454,0.053736298,0,0.386692281,0.459023265,0.379911945,0.210464301,0.381468946,0.45036643,historical,0.007586436
1984,2,0.280429885,0.155373989,0.364927813,0,0,0.001345247,0,0.663710465,0,3.15E-05,historical,14.30558466
1984,3,4.375850352,7.990578288,0.190462185,9.585730717,0.068539098,4.122500339,0.0467956,4.627678535,7.652919691,0,historical,6.11937987
1984,4,2.15250484,19.50442774,3.118762282,3.145983332,2.782581207,5.194387446,0.300084665,9.679412019,1.490087004,18.94437246,historical,16.09187908
1984,5,47.99131433,16.57306895,3.162671774,7.372261624,26.12003971,50.15862192,5.869619211,11.21591609,2.767539365,42.06958002,historical,9.037415378
1984,6,124.898268,44.52408774,4.01641291,39.341419,66.84800274,24.00370054,69.3825117,13.07431706,31.30289528,55.05213855,historical,84.06040016
1984,7,137.7851789,119.5530989,12.47674259,178.2269045,122.0163889,97.38606408,54.97526245,323.3113112,36.81726769,31.42954149,historical,163.027057
1984,8,173.9191249,119.3102514,72.20573256,165.8866792,137.7918933,117.9056903,152.7251401,170.9208469,118.2852064,92.91996976,historical,135.1882648
1984,9,13.79066839,85.34155182,20.18657452,32.2313307,29.40532451,50.29706957,27.39673464,40.25511777,134.4012904,27.37481778,historical,49.30718
1984,10,19.9384924,7.697853197,5.93538431,2.088639465,4.905355915,0,2.770773257,2.844211563,30.59786193,27.15871645,historical,2.778469943
1984,11,21.91388213,3.561905319,0.019203593,7.89E-05,23.26280928,1.006401611,3.38E-05,1.390903937,22.46230588,10.11821872,historical,4.517868514
1984,12,0.72328248,0.856472537,0.13291413,0.577292249,0.324100286,0.239536683,2.826060416,12.97354598,2.419199897,0.444986506,historical,0.784959616
1985,1,0.501733332,0.838126658,0.225982181,0.002700226,1.968196783,0.199903302,0.035957449,0.012388594,0.87458122,0.571105525,historical,0.057950579
