Year,Month,BCC-CSM2-MR_mm,CHIRPS_mm,EC-Earth3_mm,FGOALS-g3_mm,GFDL-CM4_mm,GFDL-ESM4_mm,MIROC-ES2L_mm,MIROC6_mm,MRI-ESM2-0_mm,NESM3_mm,Scenario,TaiESM1_mm
2015,1,0.148680817,,0.287461958,2.46E-04,1.31690868,0.294434404,5.06E-05,0.018810779,0.125838061,0.28359579,ssp585,0.005484645
2015,2,0.187158934,,2.13E-04,0.10424758,0.021085756,0,0.005919727,0.004681276,0,0.09281619,ssp585,1.680519822
2015,3,21.49704873,,6.524974861,0.687995674,1.06711463,0.725702344,0.42544013,0.016556951,0.290851898,19.41060863,ssp585,7.36749366
2015,4,19.55820982,,20.943909,5.134946074,15.25537983,7.076042799,2.675886922,3.926151511,17.44585286,8.245572179,ssp585,27.46838312
2015,5,24.02242031,,40.76866925,4.269317979,9.637026287,5.97059796,2.389909863,6.787111237,29.58191694,9.427006695,ssp585,11.70015294
2015,6,41.65406448,,17.69121263,40.94766901,23.06912524,62.89680956,10.45627565,26.78114025,57.05485666,82.7013202,ssp585,67.18331658
2015,7,153.0159695,,154.7261201,103.9193432,86.55473503,158.5408871,128.0859274,224.4000782,31.45461173,196.8893049,ssp585,381.8336165
2015,8,106.5983499,,304.6228949,149.6642983,182.1638563,36.84181411,115.9617848,230.2825255,152.6502466,218.6963473,ssp585,166.546444
2015,9,78.99968388,,96.79067821,44.47113844,90.85109978,106.6847492,57.52511579,31.63142164,70.4492441,42.15578321,ssp585,48.89563553
2015,10,10.9650132,,2.23216822,2.575610544,0.38913869,0,5.484898827,0.75756893,45.96495928,1.514296955,ssp585,84.86651533
2015,11,16.24414641,,1.21500071,0.691101244,12.49268213,0.262879077,1.360525246,0.082574268,0.941593195,1.82049373,ssp585,36.4322308
2015,12,1.058062314,,0.173868162,0.231773533,8.501964319,0.476202017,7.78E-05,0.118319601,0.027141713,4.916952908,ssp585,18.80319966
2016,1,0.080024069,,0.906079457,1.88E-04,1.383833066,0.01433019,1.35E-05,0.003638441,2.148286485,0.271319059,ssp585,3.951666478
2016,2,1.15E-05,,5.69E-05,0,0.006244327,1.538963767,0.007093116,0,0.477594912,0.001622752,ssp585,2.81443118
2016,3,11.00578365,,0.821674241,6.550718135,0.264227696,0.824337179,1.44745088,0.049675699,0.819451472,0.003024656,ssp585,2.494543996
2016,4,24.13884828,,3.984920671,11.27306663,33.7740907,12.06539569,1.447075072,0.958028311,23.07030686,0.905084948,ssp585,53.79063655
2016,5,18.40653464,,6.656570499,12.89148206,13.6508232,14.99413703,5.935037445,30.59122957,13.43741742,7.401500875,ssp585,22.90760701
2016,6,27.74134798,,27.0208921,41.30969581,20.99635149,5.335004169,43.93079868,104.5351296,95.78327117,131.2591829,ssp585,72.17192797
2016,7,118.6170605,,222.1957339,95.63948222,167.9669524,41.49803848,177.7018848,135.6619594,25.60248682,73.38140731,ssp585,107.1924503
2016,8,207.9560396,,323.454488,216.4805089,133.1742927,68.2221,159.342488,103.6757599,77.22244044,390.4401965,ssp585,242.9171924
2016,9,79.45353031,,105.4619781,56.85962242,26.91338241,40.33742888,123.5920166,24.88324471,64.49260489,58.80781576,ssp585,38.13536695
2016,10,0.923501314,,4.125555032,3.040999245,0.442624764,6.616369543,13.29158746,0.850036833,6.992745345,13.29573718,ssp585,4.938465742
2016,11,4.569267613,,2.411125051,7.896847204,12.26345484,14.17551873,0.496775318,3.011494733,1.21E-04,0.145426927,ssp585,0.712556819
2016,12,4.922422531,,0.013089564,0.231960691,1.013977722,1.711588141,0.828543639,4.030830656,2.836870417,0.086003534,ssp585,0.409567379
2017,1,0.021385619,,1.737441799,0.004090883,1.340838099,0.320046469,6.86E-05,0.866419081,0.004836081,0.00164082,ssp585,0.070557966
2017,2,0.077425866,,1.68E-04,0,0.083270941,0.456520032,0.072189974,0.170081633,0.234333921,0.028829153,ssp585,0
