AEZ,Year,Month,CHIRPS,BCC-CSM2-MR,EC-Earth3,FGOALS-g3,GFDL-CM4,GFDL-ESM4,MIROC-ES2L,MIROC6,MRI-ESM2-0,NESM3,TaiESM1
Moist_Highland,2015,1,6.421487355,3.207064529,0.053182641,0,0,0,0,5.199001555,5.89E-04,0,5.638439267
Moist_Lowland,2015,1,2.861489047,0,0,0,0,0,0,0.187017622,0.007648291,0,0
Arid_Lowland,2015,1,7.15227424,27.58351348,0.272270877,0,0,0,0,25.9090301,1.965087856,0,42.40665585
Moist_Highland,2015,2,4.300061511,0,0,0,0,0,1.517374519,0,0,1.098719359,2.358943832
Moist_Lowland,2015,2,1.451801432,0,0,0,0,0,0.001234216,0,0,0,0.077148998
Arid_Lowland,2015,2,3.35959804,0,0,0,0,0,8.377745691,0,0,9.410791635,1.944887649
Moist_Highland,2015,3,18.1181143,0,0,0,0,0,7.623969391,0,0,0.00317444,50.93545802
Moist_Lowland,2015,3,5.366753269,0,0,0,0,0,2.086239335,0,0,0,26.52663717
Arid_Lowland,2015,3,8.084885002,0,0,0,0,0,0.435352246,0,0,0.013866886,23.38580383
Moist_Highland,2015,4,37.99875859,0,3.763023308,0,68.00426714,0.007730504,0,0,0,108.607626,0
Moist_Lowland,2015,4,16.31933362,0,0.106710771,0,33.16667045,0,0,0,0,91.82939909,0
Arid_Lowland,2015,4,20.94053673,0,1.509776387,0,20.01823368,0.009591884,0,0,0,87.03534384,0
Moist_Highland,2015,5,55.43634806,0.386464786,55.47741496,13.6199789,3.30E-04,0.877885708,0,0.001608283,0,0,13.71185034
Moist_Lowland,2015,5,41.63796016,0.002595004,64.1685813,2.241435887,0,1.305635218,0,0.008348374,0.069705868,0,2.193326567
Arid_Lowland,2015,5,28.50112678,0.354683143,45.31049032,1.564191447,4.15E-04,0.044926803,0,4.61E-04,2.06E-04,0,6.839721974
Moist_Highland,2015,6,28.01142098,6.578892728,0,1.754884548,5.40E-04,4.65956396,0,0.029389771,0.255560296,3.771946968,8.666941164
Moist_Lowland,2015,6,34.80276083,49.2253107,0.065425054,2.952360799,0.196124815,6.499853198,0,0,4.203143106,11.42575717,2.533303664
Arid_Lowland,2015,6,13.98731294,0.904298339,0,1.342418077,9.98E-04,7.340195389,0,0.220233135,5.398780626,4.131570868,1.320976025
Moist_Highland,2015,7,99.97852443,0.153431099,3.890939923,156.4911814,310.0574412,0.665353506,2.031603619,43.64711939,51.83318382,30.94140643,0
Moist_Lowland,2015,7,108.5506477,16.58726603,4.716012616,151.1732148,1061.151272,118.8862896,0.012101136,33.36235454,8.127292819,69.36344511,0
